,draft_year,pick_no,player_name
364,2019,5,Darius Garland
365,2019,6,Jarrett Culver
366,2019,7,Coby White
367,2019,8,Jaxson Hayes
368,2019,9,Rui Hachimura
369,2019,10,Cam Reddish
370,2019,11,Cameron Johnson
371,2019,12,P.J. Washington
372,2019,13,Tyler Herro
373,2019,14,Romeo Langford
374,2019,15,Sekou Doumbouya
375,2019,16,Chuma Okeke
376,2019,17,Nickeil Alexander-Walker
377,2019,18,Goga Bitadze
378,2019,19,Luka Šamanić
379,2019,20,Matisse Thybulle
380,2019,21,Brandon Clarke
381,2019,22,Grant Williams
382,2019,23,Darius Bazley
383,2019,24,Ty Jerome
384,2019,25,Nassir Little
385,2019,26,Dylan Windler
386,2019,27,Mfiondu Kabengele
387,2019,28,Jordan Poole
388,2019,29,Keldon Johnson
389,2019,30,Kevin Porter Jr.
390,2019,31,Nic Claxton
391,2019,32,KZ Okpala
392,2019,33,Carsen Edwards
393,2019,34,Bruno Fernando
394,2019,35,Didi Louzada
395,2019,36,Cody Martin
396,2019,37,Deividas Sirvydis
397,2019,38,Daniel Gafford
398,2019,39,Alen Smailagić
399,2019,40,Justin James
400,2019,41,Eric Paschall
401,2019,42,Admiral Schofield
402,2019,43,Jaylen Nowell
403,2019,44,Bol Bol
404,2019,45,Isaiah Roby
405,2019,46,Talen Horton-Tucker
406,2019,47,Ignas Brazdeikis
407,2019,48,Terance Mann
408,2019,49,Quinndary Weatherspoon
409,2019,50,Jarrell Brantley
410,2019,51,Tremont Waters
411,2019,52,Jalen McDaniels
412,2019,53,Justin Wright-Foreman
413,2019,54,Marial Shayok
414,2019,55,Kyle Guy
415,2019,56,Jaylen Hands
416,2019,57,Jordan Bone
417,2019,58,Miye Oni
418,2019,59,Dewan Hernandez
419,2019,60,Vanja Marinković
420,2020,1,Anthony Edwards
421,2020,2,James Wiseman
422,2020,3,LaMelo Ball
423,2020,4,Patrick Williams
424,2020,5,Isaac Okoro
425,2020,6,Onyeka Okongwu
426,2020,7,Killian Hayes
427,2020,8,Obi Toppin
428,2020,9,Deni Avdija
429,2020,10,Jalen Smith
430,2020,11,Devin Vassell
431,2020,12,Tyrese Haliburton
432,2020,13,Kira Lewis Jr.
433,2020,14,Aaron Nesmith
434,2020,15,Cole Anthony
435,2020,16,Isaiah Stewart
436,2020,17,Aleksej Pokusevski
437,2020,18,Josh Green
438,2020,19,Saddiq Bey
